feature,cpm25,q2,t2,u10,v10,swdown,pblh,psfc,rain,PM25,NH3,SO2,NOx,NMVOC_e,NMVOC_finn,bio
cpm25,1.0,-0.7731729732790655,-0.8626670733274951,-0.7112621815586175,-0.7744368349184886,-0.2166828650851101,-0.4086490567796268,0.7087601297471214,-0.14682192818750864,0.09709080142895199,0.30814132942709577,0.666764667211327,-0.02255545818385779,0.8234870895384074,-0.14462573124487707,-0.2812118599679246
q2,-0.7731729732790655,1.0,0.7299187495168903,0.6049522104577655,0.8447312719477159,0.02415924387548245,0.13152109949477356,-0.7131361903136193,0.23104713581281977,-0.3655174408321166,-0.6484429188940909,-0.5894262148172883,-0.2735637209510631,-0.6906954487876265,-0.18023543162344738,0.07273177105026997
t2,-0.8626670733274951,0.7299187495168903,1.0,0.8035571874846442,0.6823860585484476,0.4982656957109037,0.6980955911383495,-0.6831514024587312,0.12779118980153673,0.042298529156649306,-0.18864949247049267,-0.46476447330915155,0.15182673108203443,-0.7147018023409569,0.27196918963329275,0.5483105104513343
u10,-0.7112621815586175,0.6049522104577655,0.8035571874846442,1.0,0.6907614071312369,0.38545334243972695,0.5350213948349171,-0.7998900305450097,0.10426099343749115,0.09926744549414002,-0.09961398840005434,-0.4326006114917747,0.2004541252886018,-0.6733835818157576,0.30415971733984054,0.44781536430826663
v10,-0.7744368349184886,0.8447312719477159,0.6823860585484476,0.6907614071312369,1.0,0.022234085699470763,0.15527154077190383,-0.8308392551428073,0.22013668150353718,-0.23704120969313058,-0.4961780687822074,-0.570847492974044,-0.15971632407301029,-0.6652668533133682,-0.06552668770793393,0.0790189421346934
swdown,-0.2166828650851101,0.02415924387548245,0.4982656957109037,0.38545334243972695,0.022234085699470763,1.0,0.629943153537449,-0.014613322279001284,-0.02640161680158069,0.40559541060577853,0.336517374822198,0.15743764350452844,0.4388100100821993,-0.09886325258662,0.4707441614496205,0.9728183209917425
pblh,-0.4086490567796268,0.13152109949477356,0.6980955911383495,0.5350213948349171,0.15527154077190383,0.629943153537449,1.0,-0.2984640538344865,-0.02130348150680734,0.42460596147417157,0.3368888737088631,0.014929268226017955,0.47988837591586836,-0.29791960757781955,0.5616617830598784,0.6880411231652327
psfc,0.7087601297471214,-0.7131361903136193,-0.6831514024587312,-0.7998900305450097,-0.8308392551428073,-0.014613322279001284,-0.2984640538344865,1.0,-0.17898343989273624,0.14027191624924704,0.37652300436754405,0.5329504464456839,0.06306400577610047,0.6501851539898517,-0.037598277221999515,-0.09088835157072148
rain,-0.14682192818750864,0.23104713581281977,0.12779118980153673,0.10426099343749115,0.22013668150353718,-0.02640161680158069,-0.02130348150680734,-0.17898343989273624,1.0,-0.08267872475037115,-0.16464571063509742,-0.08188102545924812,-0.07566321239832932,-0.09913269384475648,-0.06211855541851593,-0.021236945896997993
PM25,0.09709080142895199,-0.3655174408321166,0.042298529156649306,0.09926744549414002,-0.23704120969313058,0.40559541060577853,0.42460596147417157,0.14027191624924704,-0.08267872475037115,1.0,0.9257557171673353,0.6501206996707065,0.9800341616211431,0.20615029021186396,0.9400154175525678,0.4423169310440544
NH3,0.30814132942709577,-0.6484429188940909,-0.18864949247049267,-0.09961398840005434,-0.4961780687822074,0.336517374822198,0.3368888737088631,0.37652300436754405,-0.16464571063509742,0.9257557171673353,1.0,0.6687209077452573,0.8927701192573115,0.35022862154281637,0.8395265395937607,0.35527806503479586
SO2,0.666764667211327,-0.5894262148172883,-0.46476447330915155,-0.4326006114917747,-0.570847492974044,0.15743764350452844,0.014929268226017955,0.5329504464456839,-0.08188102545924812,0.6501206996707065,0.6687209077452573,1.0,0.5144581126805162,0.8398834906068489,0.3919387980363408,0.10740301234909022
NOx,-0.02255545818385779,-0.2735637209510631,0.15182673108203443,0.2004541252886018,-0.15971632407301029,0.4388100100821993,0.47988837591586836,0.06306400577610047,-0.07566321239832932,0.9800341616211431,0.8927701192573115,0.5144581126805162,1.0,0.03687312573618622,0.9832449939153459,0.4905869803278764
NMVOC_e,0.8234870895384074,-0.6906954487876265,-0.7147018023409569,-0.6733835818157576,-0.6652668533133682,-0.09886325258662,-0.29791960757781955,0.6501851539898517,-0.09913269384475648,0.20615029021186396,0.35022862154281637,0.8398834906068489,0.03687312573618622,1.0,-0.10479021357688834,-0.1958616501657721
NMVOC_finn,-0.14462573124487707,-0.18023543162344738,0.27196918963329275,0.30415971733984054,-0.06552668770793393,0.4707441614496205,0.5616617830598784,-0.037598277221999515,-0.06211855541851593,0.9400154175525678,0.8395265395937607,0.3919387980363408,0.9832449939153459,-0.10479021357688834,1.0,0.5396273865512672
bio,-0.2812118599679246,0.07273177105026997,0.5483105104513343,0.44781536430826663,0.0790189421346934,0.9728183209917425,0.6880411231652327,-0.09088835157072148,-0.021236945896997993,0.4423169310440544,0.35527806503479586,0.10740301234909022,0.4905869803278764,-0.1958616501657721,0.5396273865512672,1.0
