month,month_label,feature_a,feature_b,pair_label,corr_value,abs_corr_value
APRIL_16,April 2016,cpm25,q2,cpm25 ~ q2,0.09106987115882664,0.09106987115882664
APRIL_16,April 2016,cpm25,t2,cpm25 ~ t2,-0.4928050103843961,0.4928050103843961
APRIL_16,April 2016,cpm25,u10,cpm25 ~ u10,-0.21915056711565034,0.21915056711565034
APRIL_16,April 2016,cpm25,v10,cpm25 ~ v10,-0.31470910145597747,0.31470910145597747
APRIL_16,April 2016,cpm25,swdown,cpm25 ~ swdown,-0.46202634644318014,0.46202634644318014
APRIL_16,April 2016,cpm25,pblh,cpm25 ~ pblh,-0.44981410586094606,0.44981410586094606
APRIL_16,April 2016,cpm25,psfc,cpm25 ~ psfc,0.10649848430613883,0.10649848430613883
APRIL_16,April 2016,cpm25,rain,cpm25 ~ rain,-0.06036703177341446,0.06036703177341446
APRIL_16,April 2016,cpm25,PM25,cpm25 ~ PM25,-0.15487039720991239,0.15487039720991239
APRIL_16,April 2016,cpm25,NH3,cpm25 ~ NH3,-0.1692137826573194,0.1692137826573194
APRIL_16,April 2016,cpm25,SO2,cpm25 ~ SO2,-0.17589126227443455,0.17589126227443455
APRIL_16,April 2016,cpm25,NOx,cpm25 ~ NOx,-0.13765691523746115,0.13765691523746115
APRIL_16,April 2016,cpm25,NMVOC_e,cpm25 ~ NMVOC_e,,
APRIL_16,April 2016,cpm25,NMVOC_finn,cpm25 ~ NMVOC_finn,-0.15899218378256955,0.15899218378256955
APRIL_16,April 2016,cpm25,bio,cpm25 ~ bio,-0.45278254253820616,0.45278254253820616
APRIL_16,April 2016,q2,t2,q2 ~ t2,-0.3966451140983395,0.3966451140983395
APRIL_16,April 2016,q2,u10,q2 ~ u10,-0.4273302508600661,0.4273302508600661
APRIL_16,April 2016,q2,v10,q2 ~ v10,0.24789323327962354,0.24789323327962354
APRIL_16,April 2016,q2,swdown,q2 ~ swdown,-0.3362779010939679,0.3362779010939679
APRIL_16,April 2016,q2,pblh,q2 ~ pblh,-0.5837203310281076,0.5837203310281076
