feature_a,feature_b,pair_label,category_a,category_b,mean_corr,mean_abs_corr,corr_std_across_months,corr_range_across_months,min_corr,max_corr,strong_sign_flip_across_months
cpm25,q2,cpm25 ~ q2,meteorology_or_target,meteorology_or_target,-0.2580531391838529,0.46865602643983695,0.48264740816001245,1.167894414013701,-0.8377585106605598,0.33013590335314136,1
q2,psfc,q2 ~ psfc,meteorology_or_target,meteorology_or_target,-0.07111363875236199,0.4043091802114796,0.4406045021454918,1.0574535748539247,-0.7230746467609951,0.33437892809292946,1
q2,u10,q2 ~ u10,meteorology_or_target,meteorology_or_target,0.13563365080337186,0.41237516911223815,0.43571916754865,1.1054115865755414,-0.4273302508600661,0.6780813357154754,1
q2,t2,q2 ~ t2,meteorology_or_target,meteorology_or_target,0.18928002219508633,0.3876025792442561,0.39892834983856174,0.9888655179048789,-0.3966451140983395,0.5922204038065393,1
q2,pblh,q2 ~ pblh,meteorology_or_target,meteorology_or_target,-0.05549135319979154,0.2794135492200773,0.3425715898376802,0.9367068824638564,-0.5837203310281076,0.35298655143574875,1
q2,v10,q2 ~ v10,meteorology_or_target,meteorology_or_target,0.36039994194941094,0.4110344950360688,0.31791460980942404,0.8313518028332331,-0.10126910617331576,0.7300826966599173,0
cpm25,v10,cpm25 ~ v10,meteorology_or_target,meteorology_or_target,-0.14550681616238736,0.2992028627380272,0.3178276127082946,0.806405831909831,-0.5747102563448517,0.23169557556497922,1
q2,NH3,q2 ~ NH3,meteorology_or_target,emission,-0.1390683800327182,0.26478782780881077,0.28438493846707874,0.7049416974770358,-0.5469818776244094,0.15795981985262642,0
q2,SO2,q2 ~ SO2,meteorology_or_target,emission,-0.13732519995023307,0.2620317224762844,0.2842693361700452,0.7056504802798105,-0.5526401916733811,0.15301028860642943,0
q2,NMVOC_finn,q2 ~ NMVOC_finn,meteorology_or_target,emission,-0.13886763028747195,0.26034548629888593,0.2793624009462318,0.7006415592099059,-0.5357504697773462,0.1648910894325597,0
q2,PM25,q2 ~ PM25,meteorology_or_target,emission,-0.1272321413248753,0.2566728658769279,0.27665027080042287,0.6749504251503332,-0.528936576412303,0.14601384873803028,0
q2,NOx,q2 ~ NOx,meteorology_or_target,emission,-0.125817315800341,0.2481691321543224,0.2640095703685705,0.6460494900560072,-0.49893968864916266,0.14710980140684454,0
cpm25,NMVOC_finn,cpm25 ~ NMVOC_finn,meteorology_or_target,emission,-0.20503342627219104,0.21474263298697865,0.2542777587007255,0.6508573031811504,-0.6314388897515752,0.01941841342957522,0
u10,v10,u10 ~ v10,meteorology_or_target,meteorology_or_target,0.2503419864840587,0.3170536697085947,0.24964959719353388,0.6084909712436242,-0.13342336644907188,0.47506760479455223,0
cpm25,u10,cpm25 ~ u10,meteorology_or_target,meteorology_or_target,-0.0698984520898567,0.24564501178524506,0.2475551901421384,0.6217158576432023,-0.27022273825242543,0.35149311939077676,1
cpm25,NH3,cpm25 ~ NH3,meteorology_or_target,emission,-0.20321920088131362,0.21193630107864703,0.2473526579279346,0.6329946532345393,-0.6155604528398725,0.01743420039466677,0
cpm25,NOx,cpm25 ~ NOx,meteorology_or_target,emission,-0.2015093296141591,0.20333417883046537,0.24112703299419141,0.6137250058391717,-0.6100753074065591,0.0036496984326125376,0
cpm25,PM25,cpm25 ~ PM25,meteorology_or_target,emission,-0.19737890601167563,0.19737890601167563,0.23021360731769336,0.5777437636379159,-0.5847707442358863,-0.007026980597970336,0
cpm25,SO2,cpm25 ~ SO2,meteorology_or_target,emission,-0.21274581667687573,0.21302266099950348,0.22699314635364445,0.5913193054081356,-0.5907656167628801,0.0005536886452554946,0
q2,bio,q2 ~ bio,meteorology_or_target,emission,-0.06993900436712291,0.18358001738059418,0.21976165338434214,0.6038902763014362,-0.39603491272987457,0.20785536357156167,1
cpm25,t2,cpm25 ~ t2,meteorology_or_target,meteorology_or_target,-0.5175096718263834,0.5175096718263834,0.20222256316661832,0.5250855434362145,-0.7238607757941374,-0.1987752323579229,0
u10,NH3,u10 ~ NH3,meteorology_or_target,emission,0.3976685672182624,0.3976685672182624,0.20111453876553784,0.5472352070183685,0.10989147277436206,0.6571266797927305,0
u10,NMVOC_finn,u10 ~ NMVOC_finn,meteorology_or_target,emission,0.38931479223998994,0.38931479223998994,0.20067737414681852,0.5445728233446935,0.10348409902597686,0.6480569223706704,0
q2,swdown,q2 ~ swdown,meteorology_or_target,meteorology_or_target,-0.06161895237418239,0.16939363359199497,0.19274683872409779,0.5204299016174199,-0.3362779010939679,0.18415200052345196,0
u10,SO2,u10 ~ SO2,meteorology_or_target,emission,0.405135054558301,0.405135054558301,0.1909219389393869,0.5239610192655134,0.1382205354425069,0.6621815547080203,0
t2,v10,t2 ~ v10,meteorology_or_target,meteorology_or_target,-0.0010376075136886466,0.16328013831752877,0.19034929074595844,0.46031132125729823,-0.13582625964961795,0.32448506160768026,0
v10,psfc,v10 ~ psfc,meteorology_or_target,meteorology_or_target,-0.3790156332883141,0.3790156332883141,0.1875305919432238,0.4634474138122109,-0.673658149972027,-0.21021073615981611,0
cpm25,pblh,cpm25 ~ pblh,meteorology_or_target,meteorology_or_target,-0.44625877136512404,0.44625877136512404,0.18589758422413824,0.4596728086187584,-0.7485819130719564,-0.288909104453198,0
u10,NOx,u10 ~ NOx,meteorology_or_target,emission,0.3915491736988411,0.3915491736988411,0.18572924444366978,0.505277050036951,0.1227693877730843,0.6280464378100353,0
u10,PM25,u10 ~ PM25,meteorology_or_target,emission,0.40258314354091185,0.40258314354091185,0.1828196135132108,0.5010124755408139,0.14571719134786226,0.6467296668886762,0
t2,NMVOC_finn,t2 ~ NMVOC_finn,meteorology_or_target,emission,0.6081756246187883,0.6081756246187883,0.18007587571552175,0.5065855318486798,0.336401666984715,0.8429871988333949,0
t2,NH3,t2 ~ NH3,meteorology_or_target,emission,0.6097830692957928,0.6097830692957928,0.17702485772368803,0.49749079905034743,0.3425978221750551,0.8400886212254025,0
t2,NOx,t2 ~ NOx,meteorology_or_target,emission,0.6017644367914872,0.6017644367914872,0.17021129724208114,0.4812959632793778,0.3581949121679791,0.8394908754473569,0
cpm25,psfc,cpm25 ~ psfc,meteorology_or_target,meteorology_or_target,-0.12548214981593145,0.17873139196900087,0.1666350226991671,0.44976821756071034,-0.3432697332545715,0.10649848430613883,0
t2,SO2,t2 ~ SO2,meteorology_or_target,emission,0.6171710171102818,0.6171710171102818,0.16121995569054803,0.45330060303594977,0.3749623093769281,0.8282629124128779,0
t2,PM25,t2 ~ PM25,meteorology_or_target,emission,0.6043704673960965,0.6043704673960965,0.15841837735797162,0.44659853381960574,0.3817386061912333,0.828337140010839,0
u10,pblh,u10 ~ pblh,meteorology_or_target,meteorology_or_target,0.47290285608255855,0.47290285608255855,0.14764399861137847,0.41208148540059214,0.2901483751998232,0.7022298606004154,0
psfc,PM25,psfc ~ PM25,meteorology_or_target,emission,-0.02403683027054105,0.10851731343025767,0.14118611935095998,0.3582278827780303,-0.2651082874015974,0.09311959537643286,0
psfc,SO2,psfc ~ SO2,meteorology_or_target,emission,-0.026561942635407787,0.10398036337594768,0.13887895549575432,0.357608198250906,-0.26108461202271094,0.09652358622819508,0
psfc,NH3,psfc ~ NH3,meteorology_or_target,emission,-0.029917934373821255,0.09734363155774883,0.13509323359552264,0.3612097315408438,-0.2545231318631402,0.10668659967770362,0
psfc,NOx,psfc ~ NOx,meteorology_or_target,emission,-0.023416146454584206,0.10080703477652231,0.13443992998204998,0.3507000670484922,-0.24844636246221302,0.10225370458627916,0
NMVOC_finn,bio,NMVOC_finn ~ bio,emission,emission,0.635361676675935,0.635361676675935,0.1296005764397659,0.32960321479735427,0.44391614387686545,0.7735193586742197,0
NH3,bio,NH3 ~ bio,emission,emission,0.639182354826869,0.639182354826869,0.12950105096565737,0.3282242724932898,0.44979081576940616,0.7780150882626959,0
t2,u10,t2 ~ u10,meteorology_or_target,meteorology_or_target,0.5393250509302735,0.5393250509302735,0.12831462583829675,0.3198171757792714,0.38290895758374244,0.7027261333630138,0
psfc,NMVOC_finn,psfc ~ NMVOC_finn,meteorology_or_target,emission,-0.02893603795250963,0.0907637737918243,0.1270375775310109,0.34531986215194305,-0.23614308025509995,0.10917678189684311,0
swdown,NH3,swdown ~ NH3,meteorology_or_target,emission,0.597787572886947,0.597787572886947,0.1261396432228366,0.3182464031036226,0.42526380808015096,0.7435102111837736,0
swdown,NMVOC_finn,swdown ~ NMVOC_finn,meteorology_or_target,emission,0.5938993804986415,0.5938993804986415,0.12597499374535812,0.3189642559648726,0.41930659448608415,0.7382708504509568,0
NOx,bio,NOx ~ bio,emission,emission,0.6394530770989162,0.6394530770989162,0.12390547751586903,0.3269170213234583,0.46075040877584844,0.7876674300993067,0
swdown,NOx,swdown ~ NOx,meteorology_or_target,emission,0.6011707012730155,0.6011707012730155,0.12268987297205573,0.3192382883756266,0.43681955694502517,0.7560578453206518,0
u10,psfc,u10 ~ psfc,meteorology_or_target,meteorology_or_target,-0.5721906245757107,0.5721906245757107,0.12227568650431665,0.2957433195854562,-0.6594721233743432,-0.36372880378888706,0
t2,psfc,t2 ~ psfc,meteorology_or_target,meteorology_or_target,-0.12518064125582704,0.1518792835241395,0.11969816051635665,0.291524196862267,-0.23812691232564204,0.053397284536624956,0
PM25,bio,PM25 ~ bio,emission,emission,0.6413013570342307,0.6413013570342307,0.11840863132187565,0.29865496479986453,0.481471965967328,0.7801269307671925,0
swdown,PM25,swdown ~ PM25,meteorology_or_target,emission,0.602160757369866,0.602160757369866,0.11708306682502273,0.28993955624605644,0.4579824536390022,0.7479220098850586,0
pblh,NMVOC_finn,pblh ~ NMVOC_finn,meteorology_or_target,emission,0.6861999357101046,0.6861999357101046,0.11676386903729136,0.2868605598446534,0.5982323812876688,0.8850929411323222,0
SO2,bio,SO2 ~ bio,emission,emission,0.6503589904662956,0.6503589904662956,0.11626585783862907,0.2944635244404961,0.4773563178466094,0.7718198422871055,0
pblh,NOx,pblh ~ NOx,meteorology_or_target,emission,0.6737771894936636,0.6737771894936636,0.11605676262318806,0.2843750525527584,0.5895472341255384,0.8739222866782969,0
cpm25,bio,cpm25 ~ bio,meteorology_or_target,emission,-0.3522442634531959,0.3522442634531959,0.1144879448955375,0.26590802694055526,-0.4761775498152948,-0.21026952287473955,0
swdown,SO2,swdown ~ SO2,meteorology_or_target,emission,0.6095711844150928,0.6095711844150928,0.11232405957402256,0.28442546959138804,0.45318561969550264,0.7376110892868907,0
pblh,NH3,pblh ~ NH3,meteorology_or_target,emission,0.6815566816390004,0.6815566816390004,0.1047862084976569,0.25841586277081374,0.5987315211174234,0.8571473838882372,0
cpm25,swdown,cpm25 ~ swdown,meteorology_or_target,meteorology_or_target,-0.3533149023646702,0.3533149023646702,0.09912444481859294,0.24106417772667266,-0.46202634644318014,-0.22096216871650748,0
u10,swdown,u10 ~ swdown,meteorology_or_target,meteorology_or_target,0.44632837294078753,0.44632837294078753,0.0966148138404503,0.2361459322607964,0.37655629741154717,0.6127022296723436,0
u10,bio,u10 ~ bio,meteorology_or_target,emission,0.45652536891403805,0.45652536891403805,0.0944086076673971,0.22024528497376877,0.39978287666946893,0.6200281616432377,0
pblh,PM25,pblh ~ PM25,meteorology_or_target,emission,0.6652622507016477,0.6652622507016477,0.09313943846748537,0.2547008314545163,0.5616284089918948,0.8163292404464111,0
v10,PM25,v10 ~ PM25,meteorology_or_target,emission,-0.19222217209090692,0.19222217209090692,0.08577104950089653,0.23220265383158395,-0.30839422091098534,-0.0761915670794014,0
v10,NOx,v10 ~ NOx,meteorology_or_target,emission,-0.20483057111652717,0.20483057111652717,0.08504197100080008,0.22201907238815727,-0.3232506249572743,-0.10123155256911703,0
pblh,SO2,pblh ~ SO2,meteorology_or_target,emission,0.6810349208054232,0.6810349208054232,0.07967186482174522,0.20805552888481393,0.6044104230863978,0.8124659519712117,0
v10,SO2,v10 ~ SO2,meteorology_or_target,emission,-0.19268579750129347,0.19268579750129347,0.07765064790222252,0.20690048649545847,-0.2916813214240091,-0.08478083492855062,0
v10,NH3,v10 ~ NH3,meteorology_or_target,emission,-0.20509429887616262,0.20509429887616262,0.07385023529387395,0.18807827759338236,-0.2978206593873872,-0.10974238179400486,0
v10,NMVOC_finn,v10 ~ NMVOC_finn,meteorology_or_target,emission,-0.21471669109695474,0.21471669109695474,0.06926759040809996,0.17162661328336815,-0.3062424444530365,-0.13461583116966835,0
t2,pblh,t2 ~ pblh,meteorology_or_target,meteorology_or_target,0.8958325908482808,0.8958325908482808,0.06524140494018449,0.17208507660216243,0.7973345797653003,0.9694196563674627,0
v10,swdown,v10 ~ swdown,meteorology_or_target,meteorology_or_target,-0.09866892863072732,0.09866892863072732,0.060420910797197455,0.16933524723637133,-0.175194587990917,-0.005859340754545671,0
v10,pblh,v10 ~ pblh,meteorology_or_target,meteorology_or_target,-0.10004985661352975,0.10004985661352975,0.05708808453819896,0.1454251071902135,-0.19457512785607,-0.049150020665856484,0
cpm25,rain,cpm25 ~ rain,meteorology_or_target,meteorology_or_target,-0.03958554851286575,0.04902650822705011,0.05045764290534416,0.13033622447035978,-0.11145430504199107,0.018881919428368713,0
